,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
3180,Baleno Sigma,587000.0,8110,Petrol,Manual,1st Owner,2020,1086,5,Maruti
3181,Grande Punto EVO 1.2 Active,218000.0,64712,Petrol,Manual,2nd Owner,2015,998,5,Fiat
3182,KWID Climber 1.0 AMT,297000.0,52698,Petrol,Automatic,1st Owner,2017,799,5,Renault
3183,Grand i10 CRDi Sportz,290000.0,120797,Diesel,Manual,2nd Owner,2016,1462,5,Hyundai
3184,EON Era Plus Option,268000.0,39109,Petrol,Manual,1st Owner,2017,796,7,Hyundai
3185,i10 Era 1.1,149000.0,21046,Petrol,Manual,1st Owner,2009,1364,5,Hyundai
3186,Wagon R VXI BS IV,263000.0,34794,Petrol,Manual,1st Owner,2014,1498,5,Maruti
3187,KWID RXT Optional,305000.0,33614,Petrol,Manual,1st Owner,2018,2179,7,Renault
3188,Ciaz Zeta,950000.0,9630,Petrol,Manual,1st Owner,2022,1248,5,Maruti
3189,Alto LXi,110000.0,72153,Petrol,Manual,3rd Owner,2011,1956,5,Maruti
3190,Platinum Etios 1.4 GD,565000.0,78172,Diesel,Manual,1st Owner,2019,1462,5,Toyota
3191,City i-DTEC V,792000.0,64313,Diesel,Manual,1st Owner,2018,1364,5,Honda
3192,XUV500 W11 BSIV,1562000.0,74787,Diesel,Manual,1st Owner,2020,1248,5,Mahindra
3193,Swift Dzire ZDI Plus,671000.0,92045,Diesel,Manual,1st Owner,2019,998,5,Maruti
3194,Compass 2.0 Limited,1203000.0,48259,Diesel,Manual,3rd Owner,2018,814,4,Jeep
3195,Ertiga VXI Petrol,741000.0,21197,Petrol,Manual,1st Owner,2019,1497,7,Maruti
3196,Etios VD,340000.0,13814,Diesel,Manual,1st Owner,2012,1451,5,Toyota
3197,Baleno 1.3 Delta,454000.0,85890,Diesel,Manual,1st Owner,2015,624,5,Maruti
3198,Wagon R LXI BS IV,133000.0,101935,Petrol,Manual,1st Owner,2010,999,5,Maruti
3199,EON Era Plus,283000.0,26012,Petrol,Manual,1st Owner,2018,1497,7,Hyundai
3200,City V MT,313000.0,117699,Petrol,Manual,2nd Owner,2012,1197,7,Honda
3201,Hector Hybrid Sharp MT,1807000.0,31437,Petrol,Manual,2nd Owner,2021,999,7,MG
3203,Triber RXL BSIV,502000.0,55744,Petrol,Manual,1st Owner,2019,2179,5,Renault
3204,City i VTEC SV,545000.0,10411,Petrol,Manual,1st Owner,2015,1198,5,Honda
3205,Swift Dzire VXI 1.2,611000.0,43627,Petrol,Manual,1st Owner,2019,1197,7,Maruti
3206,KWID 1.0 RXT Optional AT 2016-2019,235000.0,31306,Petrol,Automatic,1st Owner,2017,1995,5,Renault
3207,Innova 2.5 GX (Diesel) 7 Seater BS IV,653000.0,308768,Diesel,Manual,2nd Owner,2015,1197,5,Toyota
3208,XUV500 W7 AT BSIV,1235000.0,55209,Diesel,Automatic,1st Owner,2018,1462,5,Mahindra
3209,GO Plus T BSIV,304000.0,18732,Petrol,Manual,1st Owner,2017,1198,5,Datsun
3210,Grand i10 Nios Sportz CNG,741000.0,30273,Cng,Manual,1st Owner,2021,1197,5,Hyundai
3211,X4 M Sport X xDrive20d,5650000.0,29000,Diesel,Automatic,1st Owner,2019,1591,5,BMW
3212,Grand i10 1.2 Kappa Sportz BSIV,462000.0,47841,Petrol,Manual,1st Owner,2018,1248,5,Hyundai
3213,Ertiga VXI,849000.0,3707,Petrol,Manual,1st Owner,2020,999,5,Maruti
3214,Amaze S i-Vtech,379000.0,104596,Petrol,Manual,1st Owner,2016,1248,7,Honda
3215,i10 Sportz,263000.0,60162,Petrol,Manual,1st Owner,2013,799,5,Hyundai
3216,Creta 1.6 Gamma SX Plus,780000.0,72434,Petrol,Manual,1st Owner,2015,998,5,Hyundai
3218,KWID 1.0 RXT AMT Opt,445000.0,4603,Petrol,Automatic,1st Owner,2020,1497,5,Renault
3219,Swift VDI BSIV,370000.0,63740,Diesel,Manual,2nd Owner,2014,1396,5,Maruti
3220,KWID RXT,249000.0,53827,Petrol,Manual,1st Owner,2016,1197,5,Renault
3221,Sonet HTX Turbo iMT,1037000.0,13997,Petrol,Manual,1st Owner,2021,1299,7,Kia
3222,Fortuner 2.8 2WD MT BSIV,1980000.0,120949,Diesel,Manual,2nd Owner,2017,1248,5,Toyota
3223,City i VTEC V,644000.0,42189,Petrol,Manual,1st Owner,2017,1086,5,Honda
3224,i20 1.4 CRDi Sportz,283000.0,34341,Diesel,Manual,1st Owner,2012,1493,6,Hyundai
3225,Grand i10 Nios Sportz,659000.0,18881,Petrol,Manual,1st Owner,2020,993,5,Hyundai
3226,Ikon 1.3 CLXi,,127335,Petrol,Manual,2nd Owner,2009,1248,5,Ford
3227,Vitara Brezza VDi,750000.0,26201,Diesel,Manual,1st Owner,2019,1462,7,Maruti
3228,i10 Sportz 1.1L,248000.0,107263,Petrol,Manual,1st Owner,2014,998,5,Hyundai
3229,Bolero Power Plus SLX,613000.0,58245,Diesel,Manual,1st Owner,2017,1499,7,Mahindra
3231,Swift VDI BSIV,425000.0,51755,Diesel,Manual,1st Owner,2015,1193,7,Maruti
3232,XL6 Zeta,954000.0,84284,Petrol,Manual,1st Owner,2020,2179,5,Maruti
3233,Wagon R LXI BS IV,276000.0,94087,Petrol,Manual,1st Owner,2015,998,5,Maruti
3235,Fortuner 2.8 2WD MT,2932000.0,91604,Diesel,Manual,2nd Owner,2020,2179,5,Toyota
3236,Zest Revotron 1.2 XT,266000.0,56290,Petrol,Manual,1st Owner,2015,1248,5,Tata
3237,XUV500 W8 2WD,601000.0,41086,Diesel,Manual,4th Owner,2015,1364,7,Mahindra
3238,Alto K10 VXI,260000.0,38137,Petrol,Manual,1st Owner,2016,1197,5,Maruti
3239,Innova Crysta 2.4 GX 7 STR AT,2216000.0,11724,Diesel,Automatic,1st Owner,2022,1120,5,Toyota
3240,Safari Storme LX,529000.0,111023,Diesel,Manual,4th Owner,2016,2198,5,Tata
3241,Sail Hatchback LS ABS,254000.0,63936,Diesel,Manual,1st Owner,2013,1461,5,Chevrolet
3242,Etios GD,296000.0,229289,Diesel,Manual,1st Owner,2013,1497,5,Toyota
3243,i20 1.2 Asta,563000.0,21292,Petrol,Manual,1st Owner,2017,1396,5,Hyundai
3244,Grand i10 CRDi Magna,348000.0,99561,Diesel,Manual,1st Owner,2016,1193,5,Hyundai
3245,Endeavour 2.2 Trend AT 4X2,1338000.0,103066,Diesel,Automatic,2nd Owner,2016,998,5,Ford
3246,Duster 110PS Diesel RxL,362000.0,102141,Diesel,Manual,2nd Owner,2014,1498,5,Renault
3247,Ecosport 1.5 Petrol Titanium BSIV,635000.0,49320,Petrol,Manual,1st Owner,2017,796,5,Ford
3248,Indigo LX BSIV,172000.0,43239,Diesel,Manual,1st Owner,2015,1497,5,Tata
3249,Indigo Emax CNG GLS,247000.0,112051,Cng,Manual,1st Owner,2017,1199,5,Tata
3251,Ecosport 1.5 DV5 MT Trend,381000.0,86269,Diesel,Manual,1st Owner,2013,1197,5,Ford
3253,Tigor EV XM,631000.0,25882,Electric,Automatic,1st Owner,2019,1582,5,Tata
3254,City 1.5 S AT,269000.0,57209,Petrol,Automatic,1st Owner,2009,1950,5,Honda
3255,CrossPolo 1.2 TDI,338000.0,94848,Diesel,Manual,3rd Owner,2013,1061,5,Volkswagen
3256,G G63 AMG,15200000.0,47000,Petrol,Automatic,2nd Owner,2017,1950,5,Mercedes-Benz
3257,Xcent 1.2 VTVT S,479000.0,9669,Petrol,Manual,1st Owner,2018,1956,5,Hyundai
3258,Panamera GTS,17500000.0,10000,Petrol,Automatic,1st Owner,2019,1061,5,Porsche
3259,Verna 1.6 SX,411000.0,111246,Diesel,Manual,3rd Owner,2014,1991,5,Hyundai
3260,E-Class Exclusive E 220 d BSIV,4400000.0,44000,Diesel,Automatic,1st Owner,2017,1396,7,Mercedes-Benz
3261,Wagon R VXI Minor,143000.0,55118,Petrol,Manual,1st Owner,2010,1197,5,Maruti
3263,Harrier XT plus Dark Edition,1191000.0,128924,Diesel,Manual,1st Owner,2021,1197,5,Tata
3264,Wagon R LX Minor,106000.0,55842,Petrol,Manual,1st Owner,2010,998,5,Maruti
3265,GLC 200,5650000.0,32000,Petrol,Automatic,1st Owner,2020,1582,5,Mercedes-Benz
3266,i20 1.4 CRDi Asta,285000.0,96732,Diesel,Manual,1st Owner,2012,1493,5,Hyundai
3267,Grand i10 Asta,333000.0,38370,Petrol,Manual,1st Owner,2014,1248,5,Hyundai
3268,Innova Crysta 2.4 G MT BSIV,906000.0,126401,Diesel,Manual,2nd Owner,2017,998,5,Toyota
3269,i20 Active 1.2 S,514000.0,44357,Petrol,Manual,2nd Owner,2017,1197,7,Hyundai
3270,Wagon R LXI BS IV,223000.0,60545,Petrol,Manual,1st Owner,2013,1120,5,Maruti
3271,Verna 1.6 SX,317000.0,132004,Diesel,Manual,3rd Owner,2012,2179,5,Hyundai
3272,Seltos HTK Plus D,1325000.0,7000,Diesel,Manual,1st Owner,2021,1248,8,Kia
3273,Vitara Brezza ZDi,805000.0,36096,Diesel,Manual,1st Owner,2019,1197,5,Maruti
3275,Grand i10 Asta Option,258000.0,112870,Petrol,Manual,1st Owner,2013,1198,8,Hyundai
3276,Xcent 1.1 CRDi S,297000.0,56522,Diesel,Manual,2nd Owner,2014,998,5,Hyundai
3278,Swift Dzire VDI,665000.0,70000,Diesel,Manual,1st Owner,2018,1047,5,Maruti
3279,i20 1.2 Asta Option,563000.0,50924,Petrol,Manual,2nd Owner,2018,1197,5,Hyundai
3280,Innova 2.5 GX (Diesel) 8 Seater BS IV,774000.0,55681,Diesel,Manual,1st Owner,2015,998,5,Toyota
3281,Nexon 1.2 Revotron XM,646000.0,13308,Petrol,Manual,1st Owner,2019,998,7,Tata
3282,Zen Estilo LXI BS IV,167000.0,27420,Petrol,Manual,1st Owner,2011,1248,5,Maruti
3283,Innova Crysta 2.4 VX MT 8S BSIV,1505000.0,143696,Diesel,Manual,1st Owner,2018,1999,4,Toyota
3285,Swift Dzire AMT VXI,519000.0,47131,Petrol,Automatic,1st Owner,2017,1991,5,Maruti
3286,Wagon R LXI CNG,195000.0,104155,Cng,Manual,1st Owner,2012,1950,8,Maruti
3287,A-Star Lxi,160000.0,54573,Petrol,Manual,1st Owner,2011,1498,5,Maruti
3289,Rover Discovery Sport TD4 HSE Luxury,4800000.0,46000,Diesel,Automatic,1st Owner,2019,1199,5,Land
3291,C-Class C300 Cabriolet,6800000.0,30000,Petrol,Automatic,1st Owner,2019,998,5,Mercedes-Benz
3292,V-Class Exclusive,5900000.0,47000,Diesel,Automatic,2nd Owner,2019,1197,5,Mercedes-Benz
3293,Ecosport Titanium Diesel,735000.0,46029,Diesel,Manual,1st Owner,2021,1396,7,Ford
3294,Innova 2.5 GX (Diesel) 8 Seater BS IV,780000.0,205479,Diesel,Manual,2nd Owner,2016,1248,5,Toyota
3296,Q7 4.2 TDI quattro,1726000.0,80087,Diesel,Automatic,3rd Owner,2011,1950,5,Audi
3297,Sonet HTX Turbo iMT,1062000.0,14067,Petrol,Manual,1st Owner,2021,1462,5,Kia
3298,Baleno Delta,669000.0,13341,Petrol,Manual,1st Owner,2021,1197,5,Maruti
3299,i20 Active 1.4 SX,574000.0,59326,Diesel,Manual,2nd Owner,2017,1798,5,Hyundai
3300,Swift VDI BSIV,351000.0,71093,Diesel,Manual,1st Owner,2014,1197,5,Maruti
3301,Fortuner 2.8 4WD AT BSIV,3200000.0,94000,Diesel,Automatic,1st Owner,2018,796,7,Toyota
3302,E-Class Exclusive E 220d,7475000.0,13000,Diesel,Automatic,1st Owner,2021,1956,5,Mercedes-Benz
3303,Ertiga ZXI Plus,946000.0,29267,Petrol,Manual,1st Owner,2019,2179,5,Maruti
3304,Swift Dzire AMT VXI,716000.0,9695,Petrol,Automatic,1st Owner,2019,1199,5,Maruti
3305,Corolla Altis G MT,883000.0,49470,Petrol,Manual,1st Owner,2016,1956,5,Toyota
3306,Vento 1.2 TSI Highline AT,731000.0,27334,Petrol,Automatic,1st Owner,2016,1186,5,Volkswagen
3307,Alto 800 LXI,268000.0,35275,Petrol,Manual,1st Owner,2016,1497,5,Maruti
3308,Compass 2.0 Limited Plus AT,2213000.0,32365,Diesel,Automatic,1st Owner,2020,1497,5,Jeep
3309,Hexa XT,1021000.0,57366,Diesel,Manual,1st Owner,2017,1199,5,Tata
3310,Altroz XZ,730000.0,30972,Petrol,Manual,1st Owner,2020,1956,7,Tata
3311,Compass 2.0 Sport,1178000.0,63641,Diesel,Manual,2nd Owner,2018,1248,7,Jeep
3312,Grand i10 1.2 CRDi Sportz,520000.0,36171,Diesel,Manual,1st Owner,2018,2179,6,Hyundai
3313,City i-VTEC CVT ZX,950000.0,33851,Petrol,Automatic,1st Owner,2017,1373,5,Honda
3314,City i VTEC V,608000.0,73414,Petrol,Manual,1st Owner,2015,1198,5,Honda
3315,Tiago 1.2 Revotron XZ,431000.0,65938,Petrol,Manual,1st Owner,2017,796,5,Tata
3316,Hector Sharp Diesel MT,1730000.0,27122,Diesel,Manual,1st Owner,2020,1461,7,MG
3317,Baleno 1.3 Zeta,555000.0,73994,Diesel,Manual,2nd Owner,2017,1497,5,Maruti
3318,Safari Storme VX Varicor 400,769000.0,65779,Diesel,Manual,1st Owner,2016,1493,5,Tata
3319,Ertiga BSIV ZXI,786000.0,51239,Petrol,Manual,1st Owner,2018,1396,5,Maruti
3320,KUV 100 mFALCON G80 K4,366000.0,70222,Petrol,Manual,1st Owner,2017,1086,5,Mahindra
3321,Alto 800 VXI,412000.0,3415,Petrol,Manual,1st Owner,2021,1086,7,Maruti
3322,Terrano XL Plus 85 PS,420000.0,110000,Diesel,Manual,1st Owner,2014,1199,5,Nissan
3323,City 1.5 S AT,200000.0,80000,Petrol,Automatic,3rd Owner,2008,2179,5,Honda
3324,Bolero Power Plus ZLX,600000.0,150000,Diesel,Manual,1st Owner,2017,1199,5,Mahindra
3325,i20 Asta 1.4 CRDi,540000.0,97000,Diesel,Manual,2nd Owner,2015,1248,5,Hyundai
3327,i10 Era,180000.0,25000,Petrol,Manual,1st Owner,2011,1197,5,Hyundai
3329,New Safari Dicor EX 4X2 BS IV,325000.0,80000,Diesel,Manual,1st Owner,2013,1396,5,Tata
3330,Beat LS,195000.0,100000,Petrol,Manual,2nd Owner,2017,796,5,Chevrolet
3332,Cayenne Diesel,2200000.0,120000,Diesel,Automatic,2nd Owner,2011,1248,5,Porsche
3333,Swift VXI,210000.0,110000,Petrol,Manual,4th Owner,2011,1197,5,Maruti
3334,Innova 2.5 VX (Diesel) 7 Seater,550000.0,120000,Diesel,Manual,3rd Owner,2013,1461,5,Toyota
3335,Indica eV2 LS,113000.0,110000,Diesel,Manual,1st Owner,2016,998,4,Tata
3336,800 Std,,80000,Petrol,Manual,2nd Owner,1999,1997,5,Maruti
3337,X5 xDrive 30d Design Pure Experience 5 Seater,2000000.0,150000,Diesel,Automatic,1st Owner,2014,1997,5,BMW
3338,Swift Dzire VDI,560000.0,80000,Diesel,Manual,3rd Owner,2016,1248,5,Maruti
3339,Xcent 1.2 VTVT E,394000.0,10000,Petrol,Manual,1st Owner,2019,1582,5,Hyundai
3340,Duster 110PS Diesel RxL,400000.0,120000,Diesel,Manual,1st Owner,2015,1197,5,Renault
3341,Wagon R VXI,560000.0,5000,Petrol,Manual,1st Owner,2022,1248,5,Maruti
3342,5 Series 520i,900000.0,90000,Petrol,Automatic,2nd Owner,2012,1086,5,BMW
3343,Thar LX 4-Str Hard Top AT,1375000.0,20000,Petrol,Automatic,1st Owner,2020,1462,5,Mahindra
3344,Swift VDI BSIV W ABS,235000.0,100000,Diesel,Manual,3rd Owner,2010,1086,7,Maruti
3345,Verna 1.6 SX,365000.0,120000,Diesel,Manual,1st Owner,2013,2179,5,Hyundai
3346,City 1.5 GXI,130000.0,90000,Petrol,Manual,4th Owner,2005,1193,5,Honda
3347,Swift VXI,550000.0,50000,Petrol,Manual,1st Owner,2017,1497,5,Maruti
3348,Ritz VDi,300000.0,90000,Diesel,Manual,2nd Owner,2014,1998,5,Maruti
3349,Santro Magna,400000.0,3700,Petrol,Manual,1st Owner,2021,1582,5,Hyundai
3350,Ciaz Zeta,900000.0,15000,Petrol,Manual,1st Owner,2020,1197,5,Maruti
3351,Santro Era,425000.0,20000,Petrol,Manual,1st Owner,2019,1798,5,Hyundai
3352,XUV500 W8 FWD,630000.0,120000,Diesel,Manual,1st Owner,2013,1248,5,Mahindra
3353,Zest Revotron 1.2T XM,340000.0,60000,Petrol,Manual,1st Owner,2016,1399,7,Tata
3355,Cruze LTZ,480000.0,40000,Diesel,Manual,2nd Owner,2016,2179,5,Chevrolet
3356,Verna 1.6 CRDI,290000.0,110000,Diesel,Manual,3rd Owner,2011,998,5,Hyundai
3357,i10 Sportz,210000.0,70000,Petrol,Manual,4th Owner,2011,1298,5,Hyundai
3358,Superb 1.8 TSI MT,300000.0,110000,Petrol,Manual,1st Owner,2011,796,5,Skoda
3359,Swift VDI BSIV,190000.0,70000,Diesel,Manual,2nd Owner,2010,1497,5,Maruti
3360,Figo Diesel EXI,100000.0,80000,Diesel,Manual,2nd Owner,2011,1896,7,Ford
3361,Fortuner 4x2 Manual,1270000.0,110000,Diesel,Manual,3rd Owner,2015,2179,5,Toyota
3362,XUV500 W8 AWD,700000.0,60000,Diesel,Manual,1st Owner,2013,1498,7,Mahindra
3363,Alto K10 VXI,285000.0,70000,Petrol,Manual,1st Owner,2016,1956,5,Maruti
3364,Esteem Vxi,,120000,Petrol,Manual,2nd Owner,2007,1591,5,Maruti
3365,Alto LX,,15000,Petrol,Manual,1st Owner,2005,1461,5,Maruti
3366,City 1.5 S Inspire,213000.0,110000,Petrol,Manual,2nd Owner,2009,796,7,Honda
3367,New Laura Ambiente 1.9 PD,150000.0,120000,Diesel,Manual,2nd Owner,2007,2179,5,Skoda
3368,Hexa XTA,1080000.0,80000,Diesel,Automatic,2nd Owner,2018,1198,5,Tata
3369,Ameo 1.5 TDI Highline Plus 16,535000.0,50000,Diesel,Manual,2nd Owner,2018,1498,2,Volkswagen
3371,Verna VTVT 1.6 SX Option,875000.0,60000,Petrol,Manual,1st Owner,2019,796,5,Hyundai
3373,Alto LX,125000.0,135000,Petrol,Manual,4th Owner,2009,1248,7,Maruti
3375,Brio S MT,270000.0,67000,Petrol,Manual,2nd Owner,2013,1298,5,Honda
3376,Amaze EX i-Dtech,250000.0,90000,Diesel,Manual,3rd Owner,2014,1396,5,Honda
3377,Bolero Pik Up Extra Long CBC 1.7T,690000.0,300000,Diesel,Manual,1st Owner,2019,1197,5,Mahindra
3378,Alto LXi BSIII,135000.0,50000,Petrol,Manual,2nd Owner,2008,1995,5,Maruti
3379,D-Max S CAB,776000.0,5000,Diesel,Manual,1st Owner,2022,1461,5,Isuzu
3380,Swift Dzire VDI,425000.0,100000,Diesel,Manual,2nd Owner,2014,1198,5,Maruti
3381,Bolero SLE,300000.0,110000,Diesel,Manual,3rd Owner,2011,998,5,Mahindra
3382,Swift Dzire VXi,160000.0,80000,Petrol,Manual,2nd Owner,2009,1498,5,Maruti
3383,Creta 1.4 CRDi Base,800000.0,78000,Diesel,Manual,1st Owner,2017,1396,5,Hyundai
3384,Swift VXi BSIV,120000.0,90000,Petrol,Manual,3rd Owner,2008,1586,5,Maruti
3385,3 Series 320d,375000.0,100000,Diesel,Automatic,3rd Owner,2007,998,5,BMW
3386,Verito Vibe 1.5 dCi D6,200000.0,136000,Diesel,Manual,2nd Owner,2013,1968,5,Mahindra
3387,CR-V MT With Sun Roof,650000.0,136000,Petrol,Manual,3rd Owner,2012,999,5,Honda
3388,Alto K10 VXI,325000.0,40000,Petrol,Manual,1st Owner,2018,1493,5,Maruti
3389,Polo 1.5 TDI Highline,365000.0,110000,Diesel,Manual,1st Owner,2015,1197,5,Volkswagen
3390,i20 Sportz 1.4 CRDi,310000.0,70000,Diesel,Manual,3rd Owner,2014,999,5,Hyundai
3391,SX4 Zxi with Leather BSIII,120000.0,90000,Petrol,Manual,2nd Owner,2007,1061,5,Maruti
3392,Celerio VXI,335000.0,60000,Petrol,Manual,1st Owner,2016,1995,5,Maruti
3393,Q3 35 TDI Quattro Premium Plus,1250000.0,40000,Diesel,Automatic,4th Owner,2014,998,5,Audi
3394,Santro GLS I - Euro II,,147000,Petrol,Manual,1st Owner,2000,1248,5,Hyundai
3395,Creta SX Opt Knight Diesel AT DT,2000000.0,20000,Diesel,Automatic,1st Owner,2021,999,5,Hyundai
3396,Baleno Zeta,710000.0,20000,Petrol,Manual,1st Owner,2021,1197,5,Maruti
3397,KWID 1.0 RXT,270000.0,35000,Petrol,Manual,1st Owner,2017,1956,5,Renault
3398,Wagon R LXI BSIII,,60000,Petrol,Manual,1st Owner,2005,1197,5,Maruti
3399,X1 sDrive 18i,800000.0,100000,Petrol,Automatic,2nd Owner,2011,1197,5,BMW
3400,Alto K10 VXI AMT,350000.0,25000,Petrol,Automatic,2nd Owner,2017,1248,5,Maruti
3401,Swift VDI BSIV,240000.0,60000,Diesel,Manual,1st Owner,2015,1968,5,Maruti
3402,KWID 1.0 RXT Optional AT 2016-2019,309000.0,45095,Petrol,Automatic,1st Owner,2017,1248,5,Renault
3403,Etios Liva G,204000.0,30056,Petrol,Manual,2nd Owner,2011,814,7,Toyota
3405,Ignis Sigma,489000.0,21513,Petrol,Manual,1st Owner,2020,1798,7,Maruti
3406,Swift Dzire VXI,387000.0,55325,Petrol,Manual,1st Owner,2015,2179,5,Maruti
3407,Swift Dzire LDi,148000.0,163043,Diesel,Manual,3rd Owner,2009,1248,5,Maruti
3408,A4 2.0 TDI,760000.0,117180,Diesel,Automatic,3rd Owner,2011,1956,7,Audi
3410,EON Magna Plus,184000.0,28508,Petrol,Manual,1st Owner,2013,1373,5,Hyundai
3411,Q7 3.0 TDI Quattro Premium Plus,1102000.0,86594,Diesel,Automatic,3rd Owner,2009,1197,5,Audi
3412,Superb Elegance 1.8 TSI,511000.0,61090,Petrol,Manual,2nd Owner,2011,1497,5,Skoda
3413,Scorpio SLE 7S BSIII,370000.0,295392,Diesel,Manual,1st Owner,2011,1197,5,Mahindra
3414,Swift LDI,250000.0,84132,Diesel,Manual,1st Owner,2012,1582,7,Maruti
3416,Innova 2.5 ZX Diesel 7 Seater,751000.0,98234,Diesel,Manual,1st Owner,2014,1461,7,Toyota
3417,Ciaz VXi Plus,524000.0,86523,Petrol,Manual,1st Owner,2016,1462,5,Maruti
3418,i10 Sportz,227000.0,76974,Petrol,Manual,2nd Owner,2012,1498,7,Hyundai
3419,City 1.5 S MT,213000.0,112308,Petrol,Manual,3rd Owner,2008,2199,5,Honda
3420,Swift Dzire VXI,292000.0,42278,Petrol,Manual,1st Owner,2012,1451,5,Maruti
3421,Creta 1.6 CRDi SX,829000.0,65308,Diesel,Manual,1st Owner,2016,1248,7,Hyundai
3423,Duster 110PS Diesel RxZ,352000.0,133159,Diesel,Manual,1st Owner,2013,1997,5,Renault
3424,Ertiga CNG VXI,906000.0,55481,Cng,Manual,1st Owner,2020,998,7,Maruti
3425,Astor Super CVT,1227000.0,7046,Petrol,Automatic,1st Owner,2021,1493,5,MG
3426,Carnival Prestige,2821000.0,9762,Diesel,Automatic,1st Owner,2021,1248,5,Kia
3427,Hector Sharp DCT,1835000.0,12144,Petrol,Automatic,1st Owner,2021,1248,5,MG
3428,SX4 S Cross Zeta DDiS 200 SH,686000.0,117585,Diesel,Manual,1st Owner,2017,1120,5,Maruti
3429,Endeavour 2.5L 4X2 MT,646000.0,205129,Diesel,Manual,1st Owner,2014,1193,5,Ford
3430,Scorpio 1.99 S10,847000.0,53076,Diesel,Manual,2nd Owner,2016,1498,5,Mahindra
3431,Celerio VXI CNG BSIV,428000.0,84346,Cng,Manual,1st Owner,2018,1968,5,Maruti
3432,TUV 300 T8,501000.0,97865,Diesel,Manual,1st Owner,2015,814,5,Mahindra
3433,Swift VDI BSIV,207000.0,89807,Diesel,Manual,1st Owner,2010,1396,7,Maruti
3434,Swift Dzire VDI,327000.0,99121,Diesel,Manual,3rd Owner,2014,2199,5,Maruti
3435,Grand i10 CRDi Magna,360000.0,97497,Diesel,Manual,1st Owner,2016,1498,5,Hyundai
3436,Indigo GLX BS III,,48863,Petrol,Manual,1st Owner,2010,1364,5,Tata
3437,City i DTEC E,428000.0,133384,Diesel,Manual,1st Owner,2014,1582,5,Honda
3438,A6 35 TDI Technology,1059000.0,94235,Diesel,Automatic,3rd Owner,2012,1248,5,Audi
3439,EON Magna Plus,246000.0,26995,Petrol,Manual,1st Owner,2015,1461,5,Hyundai
3440,i20 Asta 1.4 CRDi,493000.0,93763,Diesel,Manual,1st Owner,2015,998,5,Hyundai
3441,Santa Fe 4WD AT,938000.0,133491,Diesel,Automatic,3rd Owner,2015,1197,5,Hyundai
3442,Polo 1.5 TDI Highline,374000.0,73323,Diesel,Manual,3rd Owner,2015,799,5,Volkswagen
3443,Etios Liva GD,387000.0,141059,Diesel,Manual,2nd Owner,2015,1498,5,Toyota
3444,Verna 1.6 CRDi EX MT,289000.0,178989,Diesel,Manual,1st Owner,2011,1998,5,Hyundai
3445,Swift Dzire VDI,368000.0,129195,Diesel,Manual,1st Owner,2013,1968,5,Maruti
3446,Duster 85PS Diesel RxL,316000.0,73331,Diesel,Manual,2nd Owner,2013,1248,5,Renault
3447,Celerio VXI,249000.0,75088,Petrol,Manual,1st Owner,2014,998,5,Maruti
3448,Grand i10 Magna,323000.0,60609,Petrol,Manual,1st Owner,2015,1995,5,Hyundai
3449,KWID RXE,219000.0,48448,Petrol,Manual,1st Owner,2015,998,5,Renault
3450,Ecosport 1.5 DV5 MT Titanium Optional,533000.0,112525,Diesel,Manual,1st Owner,2015,1956,7,Ford
3451,Cruze LT,266000.0,97095,Diesel,Manual,3rd Owner,2012,2179,5,Chevrolet
3452,A4 2.0 TDI,803000.0,114450,Diesel,Automatic,3rd Owner,2013,998,5,Audi
3453,Swift VDI BSIV,162000.0,177180,Diesel,Manual,3rd Owner,2010,1497,5,Maruti
3454,Wagon R LXI CNG,259000.0,122702,Cng,Manual,1st Owner,2016,1248,5,Maruti
3456,Alto K10 2010-2014 VXI,144000.0,11026,Petrol,Manual,1st Owner,2011,796,5,Maruti
3457,Hector Sharp Diesel MT,1889000.0,5216,Diesel,Manual,1st Owner,2022,1586,5,MG
3458,Sumo MKII GX BS IV,278000.0,39732,Diesel,Manual,1st Owner,2011,1248,5,Tata
3459,Alto K10 VXI,361000.0,26360,Petrol,Manual,1st Owner,2019,1462,7,Maruti
3460,City V MT AVN,725000.0,55360,Petrol,Manual,1st Owner,2017,2179,5,Honda
3461,Swift Dzire LDI,297000.0,101417,Diesel,Manual,2nd Owner,2015,1968,5,Maruti
3462,7 Series 730Ld,1297000.0,104033,Diesel,Automatic,3rd Owner,2010,1498,5,BMW
3463,Alto LX,111000.0,73411,Petrol,Manual,3rd Owner,2011,1199,5,Maruti
3464,SX4 Zxi BSIII,210000.0,19844,Petrol,Manual,1st Owner,2008,1498,5,Maruti
3465,Swift VDI,330000.0,107497,Diesel,Manual,1st Owner,2012,1995,5,Maruti
3466,Ciaz Delta BSIV,626000.0,86272,Petrol,Manual,1st Owner,2018,1582,5,Maruti
3467,Hexa XT,886000.0,82455,Diesel,Manual,2nd Owner,2017,2143,5,Tata
3468,Q3 35 TDI Quattro Premium Plus,2548000.0,40996,Diesel,Automatic,1st Owner,2019,1462,5,Audi
3469,Amaze SX i-DTEC,356000.0,182628,Diesel,Manual,1st Owner,2016,1197,5,Honda
3470,Polo Diesel Comfortline 1.2L,192000.0,80615,Diesel,Manual,4th Owner,2011,1197,5,Volkswagen
