,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name
105,Creta 1.6 SX Automatic Diesel,1325000.0,58000,Diesel,Automatic,1st Owner,2018,1582,5,Hyundai
106,Creta 1.6 SX,1100000.0,36000,Petrol,Manual,1st Owner,2018,1591,5,Hyundai
107,Vento 1.0 TSI Highline AT,1050000.0,23500,Petrol,Automatic,1st Owner,2020,999,5,Volkswagen
108,i20 1.2 Magna Executive,650000.0,60000,Petrol,Manual,1st Owner,2017,1197,5,Hyundai
109,Superb LK 1.8 TSI AT,2500000.0,18000,Petrol,Automatic,1st Owner,2018,1798,5,Skoda
110,Amaze V Petrol BSIV,600000.0,36500,Petrol,Manual,1st Owner,2017,1199,5,Honda
111,Superb Sportline,3100000.0,25000,Petrol,Automatic,1st Owner,2021,1984,5,Skoda
112,Seltos HTX IVT,1575000.0,20500,Petrol,Automatic,1st Owner,2020,1497,5,Kia
113,Amaze S i-Vtech,450000.0,30000,Petrol,Manual,1st Owner,2015,1198,5,Honda
114,i20 Magna 1.2,590000.0,59000,Petrol,Manual,1st Owner,2017,1197,5,Hyundai
115,X1 sDrive 20d xLine,1450000.0,80000,Diesel,Automatic,1st Owner,2014,1995,5,BMW
116,Xcent 1.2 CRDi E Plus,380000.0,50000,Diesel,Manual,2nd Owner,2017,1186,5,Hyundai
117,Harrier XZAS Plus Kaziranga Edition AT,2100000.0,32000,Diesel,Automatic,1st Owner,2021,1956,5,Tata
118,i10 Era 1.1 iTech SE,261000.0,120000,Petrol,Manual,2nd Owner,2012,1086,5,Hyundai
119,Rover Discovery 2.0 R-Dynamic HSE,11000000.0,33000,Petrol,Automatic,1st Owner,2021,1997,7,Land
120,3 DOOR Cooper S,4200000.0,6900,Petrol,Automatic,1st Owner,2019,1998,4,Mini
121,Harrier XZA Plus Kaziranga Edition AT,2250000.0,4500,Diesel,Automatic,1st Owner,2022,1956,5,Tata
122,S90 D4 Inscription BSIV,4200000.0,51000,Diesel,Automatic,1st Owner,2018,1969,5,Volvo
123,Seltos GTX Plus AT D,1975000.0,12000,Diesel,Automatic,1st Owner,2022,1493,5,Kia
124,Vitara Brezza ZDi Plus,950000.0,37000,Diesel,Manual,1st Owner,2018,1248,5,Maruti
125,Verna SX Opt Diesel,1451000.0,35000,Diesel,Manual,1st Owner,2021,1493,5,Hyundai
126,Wagon R VXI Optional,300000.0,80000,Petrol,Manual,2nd Owner,2016,998,5,Maruti
127,Grand i10 Magna,460000.0,60000,Petrol,Manual,1st Owner,2016,1197,5,Hyundai
128,Amaze VX CVT,915000.0,10000,Petrol,Automatic,1st Owner,2022,1199,5,Honda
129,Ignis Zeta AMT,550000.0,59385,Petrol,Automatic,1st Owner,2019,1197,5,Maruti
131,XUV500 AT W6 1.99 mHawk,990000.0,74000,Diesel,Automatic,1st Owner,2017,1997,7,Mahindra
132,Nexon 1.2 Revotron XMA,851000.0,29000,Petrol,Automatic,1st Owner,2020,1198,5,Tata
133,Compass Model S 4X4 Diesel AT,2750000.0,12200,Diesel,Automatic,1st Owner,2021,1956,5,Jeep
134,Grand i10 1.2 Kappa Sportz Option AT,550000.0,40000,Petrol,Automatic,3rd Owner,2019,1197,5,Hyundai
135,Verna CRDi 1.6 SX,951000.0,58000,Diesel,Manual,1st Owner,2018,1582,5,Hyundai
137,Rover Discovery Sport TD4 HSE 7S,3550000.0,72000,Diesel,Automatic,1st Owner,2018,1999,7,Land
138,Aspire 1.2 Ti-VCT Titanium,550000.0,23400,Petrol,Manual,1st Owner,2017,1196,5,Ford
139,Aspire 1.2 Ti-VCT Ambiente,390000.0,59300,Petrol,Manual,1st Owner,2017,1196,5,Ford
140,Creta 1.4 CRDi S,890000.0,72000,Diesel,Manual,1st Owner,2016,1396,5,Hyundai
141,Swift Dzire LDI,451000.0,67000,Diesel,Manual,1st Owner,2017,1248,5,Maruti
142,Amaze S CVT i-VTEC,725000.0,33500,Petrol,Automatic,1st Owner,2018,1199,5,Honda
143,Creta SX Executive,1275000.0,17000,Petrol,Manual,2nd Owner,2021,1497,5,Hyundai
144,Ameo 1.5 TDI Highline AT,690000.0,33000,Diesel,Automatic,1st Owner,2016,1498,5,Volkswagen
145,Polo GT TSI,675000.0,49000,Petrol,Automatic,1st Owner,2015,1197,5,Volkswagen
146,Grand i10 AT Asta,565000.0,26000,Petrol,Automatic,1st Owner,2015,1197,5,Hyundai
147,Venue SX Opt iMT,1000000.0,14500,Petrol,Manual,1st Owner,2020,998,5,Hyundai
148,Seltos GTX Plus AT D,1975000.0,10000,Diesel,Automatic,1st Owner,2022,1493,5,Kia
149,Hector Plus Sharp DCT,1700000.0,15001,Petrol,Automatic,1st Owner,2020,1451,6,MG
150,Octavia Elegance 1.8 TSI AT,975000.0,55000,Petrol,Automatic,2nd Owner,2015,1798,5,Skoda
151,Corolla Altis G,650000.0,38000,Petrol,Manual,1st Owner,2013,1798,5,Toyota
153,Amaze S AT i-Vtech,475000.0,65413,Petrol,Automatic,1st Owner,2013,1198,5,Honda
154,Jazz Mode,280000.0,45000,Petrol,Manual,2nd Owner,2009,1198,5,Honda
155,Figo 1.2P Trend MT,430000.0,44000,Petrol,Manual,1st Owner,2017,1196,5,Ford
156,Grand i10 1.2 Kappa Magna BSIV,490000.0,40000,Petrol,Manual,1st Owner,2017,1197,5,Hyundai
